t_ms,vm_size_kb,vm_rss_kb,vm_shared_kb,vm_text_kb,vm_data_kb
0,2200,96,0,8,352
20,89208,7980,7120,2856,7300
40,113144,12764,11036,2856,8264
60,113152,14672,12260,2856,7476
80,113152,19424,15948,2856,6304
100,117032,35244,29920,2856,6096
120,119128,48720,41072,2856,8192
141,119816,49764,41948,2856,8488
161,237728,59032,50412,2856,13488
181,237728,60500,51716,2856,13376
201,237864,60500,51716,2856,13344
221,237864,62204,53260,2856,13244
241,237864,63184,54032,2856,13168
261,237864,63184,54032,2856,13100
281,237864,65360,56080,2856,13028
301,237864,66012,56496,2856,12660
321,238088,67336,57444,2856,12844
342,238088,67336,57444,2856,12780
362,238088,69784,59784,2856,12680
382,238344,70276,59996,2856,12872
402,238344,70276,59996,2856,12812
422,238344,70276,59996,2856,12712
442,238344,71128,60656,2856,12656
462,238344,71128,60656,2856,12620
482,238344,72176,61504,2856,12440
502,238344,72176,61504,2856,12440
523,238344,72176,61504,2856,12352
543,238344,73488,62628,2856,12328
563,238344,77428,65148,2856,12200
583,239080,95032,81412,2856,11644
603,241508,102900,86720,2856,14072
623,244704,105964,86892,2856,17268
643,247700,109132,86892,2856,20264
663,250480,111772,86892,2856,23044
683,268324,127708,87276,2856,40888
704,288520,148720,87724,2856,61084
724,308980,169672,88108,2856,81544
744,328912,190420,88556,2856,101476
764,349504,211696,89004,2856,122068
784,358744,222496,89260,2856,131308
804,360060,223972,89324,2856,132624
824,361392,225148,89324,2856,133956
844,362184,227772,91004,2856,134748
865,363692,229564,91508,2856,136256
885,363692,229564,91508,2856,136256
905,363380,229972,92020,2856,135944
925,363124,230008,92276,2856,135684
945,363124,230008,92276,2856,135684
965,363124,230008,92276,2856,135684
986,362100,236720,100008,2856,134660
1006,0,0,0,0,0
SUMMARY,exit=0,wall_ms=1026,user_ms=814,sys_ms=199,max_rss_kb=239980
