t_ms,vm_size_kb,vm_rss_kb,vm_shared_kb,vm_text_kb,vm_data_kb
0,2200,96,0,8,352
20,87840,7652,6836,2856,7208
40,113144,12764,11036,2856,8276
60,113152,14672,12260,2856,7400
80,113152,20448,16772,2856,6236
100,117696,41956,35680,2856,6760
120,119124,48716,41072,2856,8188
140,119812,49760,41948,2856,8484
SUMMARY,exit=0,wall_ms=160,user_ms=122,sys_ms=36,max_rss_kb=57812
