t_ms,vm_size_kb,vm_rss_kb,vm_shared_kb,vm_text_kb,vm_data_kb
0,2192,92,0,8,344
20,76452,6700,6004,744,4940
40,104692,12124,10448,744,6088
60,104700,15208,12656,744,5204
80,104700,21576,16932,744,3932
100,108964,38892,32328,744,4308
120,175704,44244,36844,744,70536
140,177816,46424,36972,744,72648
161,180720,49328,36972,744,75552
181,180592,50028,37948,744,75032
201,181596,50940,38108,744,76036
221,672604,51588,38744,744,44064
SUMMARY,exit=0,wall_ms=241,user_ms=154,sys_ms=75,max_rss_kb=57000
