t_ms,vm_size_kb,vm_rss_kb,vm_shared_kb,vm_text_kb,vm_data_kb
0,2192,92,0,8,344
20,76032,6516,5852,744,4892
40,104692,12124,10444,744,6008
60,104700,16808,13232,744,5204
80,104700,22472,17616,744,3812
100,175144,42352,35460,744,69976
120,175708,44248,36844,744,70540
140,177952,46692,36972,744,72784
160,180856,49596,36972,744,75688
180,180596,50032,37948,744,75036
200,181600,50944,38108,744,76040
221,284844,58068,44640,744,83068
241,291912,59144,45624,744,83480
261,291912,60664,46984,744,83356
281,291912,60664,46984,744,83256
301,291912,62840,49032,744,83180
321,291912,62840,49032,744,83112
341,291912,64700,50744,744,83004
361,291912,64700,50744,744,82964
381,291912,66108,51976,744,82900
401,291912,68420,54168,744,82800
421,291912,68420,54168,744,82736
442,291912,68420,54168,744,82676
462,291912,68420,54168,744,82576
482,291912,69572,55128,744,82484
502,291912,69572,55128,744,82396
522,291912,70620,55976,744,82280
542,291912,70620,55976,744,82252
562,291912,70620,55976,744,82252
583,291912,71740,56900,744,82140
603,291912,71740,56900,744,82028
623,291964,86516,70000,744,81048
644,294208,96568,77644,744,83292
664,297124,99632,77816,744,86208
684,299900,102536,77816,744,88984
704,309828,109472,78176,744,98912
724,327912,128780,78496,744,116996
744,347316,149000,78944,744,136400
764,367116,169424,79328,744,156200
784,387180,190172,79776,744,176264
804,406188,210008,80096,744,195272
824,409840,214788,80408,744,198924
844,410940,215844,80408,744,200024
865,936560,217428,80408,744,202912
885,936560,220856,80408,744,206800
905,936560,223496,80408,744,209672
925,936560,225080,80408,744,211092
945,936560,225080,80408,744,211092
965,936560,226136,80408,744,212136
985,936560,226400,80408,744,212136
1005,936560,226400,80408,744,212136
1025,936560,226400,80408,744,212136
1045,936560,228548,80468,744,214040
1065,936560,230944,81624,744,214592
1085,937768,232528,81624,744,215804
1105,938164,233636,81684,744,217188
1125,939088,235180,82208,744,218112
1146,939088,235180,82208,744,218112
1166,939796,235936,82452,744,218820
1186,939796,235936,82452,744,218820
1206,906516,236784,82768,744,185792
1226,906516,236784,82768,744,185792
1247,905492,238264,85272,744,184768
1267,0,0,0,0,0
1287,0,0,0,0,0
SUMMARY,exit=0,wall_ms=1307,user_ms=1348,sys_ms=275,max_rss_kb=245852
