t_ms,vm_size_kb,vm_rss_kb,vm_shared_kb,vm_text_kb,vm_data_kb
0,2200,96,0,8,352
20,88940,7776,6936,2856,7228
40,113144,12764,11036,2856,8260
60,113152,14672,12260,2856,7372
80,113152,19424,15948,2856,6304
100,117032,36768,31264,2856,6096
120,119124,48716,41072,2856,8188
140,119812,49760,41948,2856,8484
161,0,0,0,0,0
SUMMARY,exit=0,wall_ms=181,user_ms=109,sys_ms=53,max_rss_kb=57812
