t_ms,vm_size_kb,vm_rss_kb,vm_shared_kb,vm_text_kb,vm_data_kb
2618,291912,71740,56900,744,82140
2638,291912,71740,56900,744,82140
2658,291912,71740,56900,744,82140
2678,291912,71740,56900,744,82140
2699,291912,71740,56900,744,82140
2719,291912,71740,56900,744,82140
2740,291912,71740,56900,744,82036
2760,291912,71740,56900,744,82028
2781,291912,76816,60632,744,81996
2803,291912,76816,60632,744,81996
2823,291912,76816,60632,744,80916
2843,292756,92940,75460,744,81840
2864,293152,94032,76064,744,82236
2884,293812,95980,77580,744,82896
2904,294736,97096,77644,744,83820
2924,295528,97888,77644,744,84612
2944,296324,98840,77816,744,85408
2965,297124,99632,77816,744,86208
2985,298048,100688,77816,744,87132
3004,298976,101480,77816,744,88060
3024,299504,102008,77816,744,88588
3045,300296,102800,77816,744,89380
3066,300956,103328,77816,744,90040
3086,301492,103856,77816,744,90576
3107,310884,110792,78176,744,99968
3127,317880,118508,78240,744,106964
3147,327120,127988,78496,744,116204
3167,336360,137672,78688,744,125444
3188,345600,147092,78880,744,134684
3208,354840,156776,79072,744,143924
3228,364212,166460,79264,744,153296
3248,373452,175880,79456,744,162536
3269,382692,185564,79648,744,171776
3289,392196,195248,79840,744,181280
3310,401436,204992,80096,744,190520
3330,407376,211856,80096,744,196460
3350,408696,213732,80408,744,197780
3370,409456,214524,80408,744,198540
3391,409840,214788,80408,744,198924
3412,410416,215316,80408,744,199500
3432,410940,215844,80408,744,200024
3453,410940,215844,80408,744,200024
3473,411776,216372,80408,744,200860
3494,412272,216900,80408,744,201356
3514,412272,216900,80408,744,201356
3535,936560,217428,80408,744,202832
3556,936560,218216,80408,744,204028
3576,936560,219008,80408,744,204792
3597,936560,220328,80408,744,206224
3617,936560,221120,80408,744,207172
3638,936560,221120,80408,744,207172
3659,936560,222176,80408,744,208428
3680,936560,222704,80408,744,208852
3701,936560,222704,80408,744,208856
3721,936560,222704,80408,744,208856
3742,936560,222704,80408,744,208856
3762,936560,222704,80408,744,208900
3783,936560,223232,80408,744,209440
3803,936560,223496,80408,744,209800
3823,936560,224816,80408,744,211084
3844,936560,224816,80408,744,211084
3865,936560,224816,80408,744,211084
3886,936560,224816,80408,744,211084
3907,936560,225344,80408,744,211524
3927,936560,225872,80408,744,212128
3948,936560,225872,80408,744,212128
3968,936560,225872,80408,744,212128
3989,936560,225872,80408,744,212128
4008,936560,225872,80408,744,212128
4029,936560,225872,80408,744,212128
4049,936560,226136,80408,744,212128
4070,936560,226136,80408,744,212128
4090,936560,226136,80408,744,212128
4110,936560,226136,80408,744,212128
4130,936560,226136,80408,744,212128
4150,936560,226136,80408,744,212128
4171,936560,226136,80408,744,212128
4191,936560,226136,80408,744,212128
4211,936560,226136,80408,744,212128
4232,936560,226136,80408,744,212128
4252,936560,226136,80408,744,212128
4272,936560,226396,80408,744,212256
4292,936560,227176,80408,744,212588
4313,936560,227752,80468,744,212892
4334,936560,228016,80468,744,213380
4355,936560,228544,80468,744,213768
4376,936560,228808,80468,744,214064
4397,936560,230148,81624,744,214064
4418,936844,230676,81624,744,214348
4440,937108,230940,81624,744,214612
4461,937240,230940,81624,744,214744
4481,937768,231732,81624,744,215272
4501,937768,231732,81624,744,215276
4521,937768,231732,81624,744,215276
4542,938164,232580,81684,744,216424
4563,938164,232844,81684,744,216792
4583,938824,233960,82032,744,217452
4604,939088,234388,82208,744,217716
4624,939088,234388,82208,744,217716
4645,939088,234388,82208,744,217716
4665,939088,234388,82208,744,217716
4685,939800,235144,82452,744,218428
4705,939800,235144,82452,744,218428
4726,939800,235144,82452,744,218428
4746,939800,235144,82452,744,218428
4766,939800,235144,82452,744,218428
4787,939800,235144,82452,744,218428
4807,906520,236396,82768,744,185400
4827,906520,236396,82768,744,185400
4847,906520,236396,82768,744,185400
4868,906520,236396,82768,744,185400
4888,906520,236396,82768,744,185400
4908,906520,236396,82768,744,185400
4928,906520,236396,82768,744,185400
4948,905496,237876,85272,744,184376
4969,905496,237876,85272,744,184376
4989,905496,237876,85272,744,184376
5008,905496,241616,89008,744,184376
5029,0,0,0,0,0
5049,0,0,0,0,0
5069,0,0,0,0,0
SUMMARY,exit=0,wall_ms=5090,user_ms=5143,sys_ms=384,max_rss_kb=245464
