t_ms,vm_size_kb,vm_rss_kb,vm_shared_kb,vm_text_kb,vm_data_kb
0,2192,92,0,8,344
20,75572,6252,5632,744,4836
40,104692,10852,9620,744,6564
61,104692,11564,10116,744,6292
81,104692,12104,10424,744,6160
101,104692,13112,10948,744,5992
121,104692,13112,10948,744,5992
142,104700,14024,11660,744,5368
162,104700,14024,11660,744,5236
182,104700,17536,13732,744,4948
202,104700,19860,15376,744,4696
223,104700,21576,16928,744,3996
243,104700,22472,17616,744,3812
266,104764,27680,21948,744,3244
286,108832,38892,32328,744,4176
307,175144,42352,35460,744,69976
327,175708,44248,36844,744,70540
348,175708,44248,36844,744,70540
369,177028,45640,36972,744,71860
391,177820,46428,36972,744,72652
412,178744,47484,36972,744,73576
433,179404,48012,36972,744,74236
454,180328,49068,36972,744,75160
474,180204,48872,36972,744,75036
494,180596,50032,37948,744,75036
514,180596,50032,37948,744,75036
535,180596,50032,37948,744,75036
555,181600,50944,38108,744,76040
575,181600,50944,38108,744,76040
595,181600,50944,38108,744,76040
616,181600,50944,38108,744,76040
636,181600,50944,38108,744,76040
656,282816,57916,44504,744,82988
676,291912,59144,45624,744,83548
697,291912,59144,45624,744,83548
717,291912,59144,45624,744,83512
737,291912,59144,45624,744,83504
757,291912,59144,45624,744,83504
779,291912,59144,45624,744,83480
799,291912,60664,46984,744,83392
820,291912,60664,46984,744,83392
840,291912,60664,46984,744,83356
860,291912,60664,46984,744,83356
880,291912,60664,46984,744,83356
901,291912,60664,46984,744,83300
921,291912,60664,46984,744,83284
941,291912,60664,46984,744,83284
962,291912,60664,46984,744,83256
982,291912,60664,46984,744,83256
1001,291912,62840,49032,744,83256
1021,291912,62840,49032,744,83208
1042,291912,62840,49032,744,83208
1063,291912,62840,49032,744,83180
1083,291912,62840,49032,744,83180
1103,291912,62840,49032,744,83180
1123,291912,62840,49032,744,83180
1144,291912,62840,49032,744,83180
1164,291912,62840,49032,744,83180
1184,291912,62840,49032,744,83112
1205,291912,62840,49032,744,83112
1225,291912,62840,49032,744,83112
1245,291912,64700,50744,744,83064
1266,291912,64700,50744,744,83064
1287,291912,64700,50744,744,83064
1307,291912,64700,50744,744,83004
1328,291912,64700,50744,744,83004
1348,291912,64700,50744,744,83004
1369,291912,64700,50744,744,82964
1389,291912,64700,50744,744,82964
1410,291912,64700,50744,744,82964
1431,291912,64700,50744,744,82964
1452,291912,66108,51976,744,82900
1473,291912,66108,51976,744,82900
1493,291912,66108,51976,744,82900
1513,291912,66108,51976,744,82900
1534,291912,66108,51976,744,82900
1554,291912,66108,51976,744,82900
1574,291912,66108,51976,744,82900
1594,291912,66108,51976,744,82824
1615,291912,66108,51976,744,82824
1636,291912,68420,54168,744,82800
1656,291912,68420,54168,744,82800
1676,291912,68420,54168,744,82800
1696,291912,68420,54168,744,82800
1716,291912,68420,54168,744,82748
1737,291912,68420,54168,744,82736
1757,291912,68420,54168,744,82736
1777,291912,68420,54168,744,82736
1798,291912,68420,54168,744,82676
1818,291912,68420,54168,744,82676
1839,291912,68420,54168,744,82676
1859,291912,68420,54168,744,82676
1879,291912,68420,54168,744,82676
1899,291912,68420,54168,744,82676
1920,291912,68420,54168,744,82608
1941,291912,68420,54168,744,82608
1961,291912,68420,54168,744,82576
1981,291912,69572,55128,744,82556
2000,291912,69572,55128,744,82556
2021,291912,69572,55128,744,82556
2041,291912,69572,55128,744,82520
2061,291912,69572,55128,744,82520
2081,291912,69572,55128,744,82484
2102,291912,69572,55128,744,82484
2122,291912,69572,55128,744,82484
2142,291912,69572,55128,744,82484
2162,291912,69572,55128,744,82484
2183,291912,69572,55128,744,82484
2203,291912,69572,55128,744,82396
2224,291912,70620,55976,744,82368
2244,291912,70620,55976,744,82368
2264,291912,70620,55976,744,82368
2286,291912,70620,55976,744,82368
2306,291912,70620,55976,744,82320
2326,291912,70620,55976,744,82280
2347,291912,70620,55976,744,82252
2368,291912,70620,55976,744,82252
2389,291912,70620,55976,744,82252
2411,291912,70620,55976,744,82252
2432,291912,70620,55976,744,82252
2456,291912,70620,55976,744,82252
2476,291912,70620,55976,744,82252
2496,291912,70620,55976,744,82252
2517,291912,70620,55976,744,82252
2537,291912,70620,55976,744,82252
2557,291912,70620,55976,744,82164
2577,291912,70620,55976,744,82164
2598,291912,71740,56900,744,82140
