t_ms,vm_size_kb,vm_rss_kb,vm_shared_kb,vm_text_kb,vm_data_kb
0,4,4,0,0,4
20,113144,12196,10700,2856,8596
40,113152,14672,12260,2856,7568
60,113152,19424,15948,2856,7072
80,116504,31716,26700,2856,5572
101,118624,47536,40368,2856,7688
121,119816,49764,41948,2856,8488
141,232372,58208,49676,2856,13356
161,237728,59032,50412,2856,13408
181,237864,60500,51716,2856,13380
202,237864,62204,53260,2856,13272
222,237864,62204,53260,2856,13196
242,237864,63184,54032,2856,13168
262,237864,63184,54032,2856,13052
283,237864,66012,56496,2856,12660
304,238088,67336,57444,2856,12844
324,238088,67336,57444,2856,12780
344,238088,69784,59784,2856,12680
364,238344,70276,59996,2856,12872
385,238344,70276,59996,2856,12812
405,238344,70276,59996,2856,12744
425,238344,71128,60656,2856,12656
445,238344,71128,60656,2856,12620
465,238344,72176,61504,2856,12440
486,238344,72176,61504,2856,12440
506,238344,72176,61504,2856,12352
526,238344,73488,62628,2856,12328
546,238344,77428,65148,2856,12200
566,239344,97656,83652,2856,11908
586,241904,103164,86720,2856,14468
607,244968,106492,86892,2856,17532
627,247700,109132,86892,2856,20264
647,250480,111772,86892,2856,23044
667,268060,127444,87276,2856,40624
687,288388,148456,87724,2856,60952
708,308848,169672,88108,2856,81412
728,329440,190948,88556,2856,102004
748,350296,212488,89004,2856,122860
768,358744,222496,89260,2856,131308
788,360060,223972,89324,2856,132624
809,361392,225148,89324,2856,133956
829,362316,227772,91004,2856,134880
849,363692,229564,91508,2856,136256
869,363692,229564,91508,2856,136256
889,363380,229972,92020,2856,135944
910,363124,230008,92276,2856,135684
930,363124,230008,92276,2856,135684
950,363124,230008,92276,2856,135684
970,0,0,0,0,0
991,0,0,0,0,0
SUMMARY,exit=0,wall_ms=1010,user_ms=811,sys_ms=183,max_rss_kb=239980
