t_ms,vm_size_kb,vm_rss_kb,vm_shared_kb,vm_text_kb,vm_data_kb
0,4,4,0,0,4
20,104692,12120,10440,744,6272
40,104700,14044,11680,744,5368
60,104700,19860,15376,744,4696
80,108568,35728,29508,744,3912
102,175144,43912,36844,744,69976
122,177292,45900,36972,744,72124
142,180196,48804,36972,744,75028
162,180596,50032,37948,744,75036
182,181600,50944,38108,744,76040
203,181600,50944,38108,744,76040
223,291912,59144,45624,744,83504
243,291912,60664,46984,744,83356
263,291912,60664,46984,744,83256
283,291912,62840,49032,744,83180
303,291912,62840,49032,744,83112
324,291912,64700,50744,744,83040
344,291912,64700,50744,744,82964
364,291912,66108,51976,744,82900
384,291912,68420,54168,744,82800
404,291912,68420,54168,744,82736
424,291912,68420,54168,744,82676
445,291912,69572,55128,744,82556
465,291912,69572,55128,744,82484
485,291912,69572,55128,744,82396
505,291912,70620,55976,744,82288
525,291912,70620,55976,744,82252
546,291912,70620,55976,744,82252
566,291912,71740,56900,744,82140
586,291912,71740,56900,744,82140
606,291912,76816,60632,744,81996
626,293548,94944,76756,744,82632
646,296456,98840,77816,744,85540
667,299108,101744,77816,744,88192
687,305208,104276,77984,744,94292
707,322368,123116,78368,744,111452
727,342300,143600,78816,744,131384
747,362364,164288,79200,744,151448
768,382428,185036,79648,744,171512
788,402624,206048,80096,744,191708
808,409456,214524,80408,744,198540
828,410940,215844,80408,744,200024
848,412272,216900,80408,744,201356
869,936560,220592,80408,744,206440
889,936560,222704,80408,744,208896
909,936560,225608,80408,744,211372
929,936560,225608,80408,744,211372
950,936560,226664,80408,744,212416
970,936560,226664,80408,744,212416
990,936560,226664,80408,744,212416
1009,936560,226664,80408,744,212416
1030,936560,227700,80408,744,213480
1050,936560,228756,80408,744,214084
1070,937372,231152,81564,744,214916
1091,937904,231736,81624,744,215448
1112,938168,232788,81624,744,216840
1132,939092,233904,81972,744,217764
1152,939092,234332,82148,744,217764
1172,939796,235088,82392,744,218468
1193,939796,235088,82392,744,218468
1213,906516,236432,82768,744,185440
1233,906516,236432,82768,744,185440
1253,905492,237912,85272,744,184416
1274,905492,241652,89008,744,184416
1294,0,0,0,0,0
1314,0,0,0,0,0
SUMMARY,exit=0,wall_ms=1334,user_ms=1417,sys_ms=220,max_rss_kb=245500
