t_ms,vm_size_kb,vm_rss_kb,vm_shared_kb,vm_text_kb,vm_data_kb
0,2192,96,0,8,344
20,76140,6580,5900,744,4900
40,104692,10868,9636,744,6560
60,104692,12120,10440,744,6200
80,104692,13132,10968,744,5992
100,104700,14044,11680,744,5376
120,104700,14044,11680,744,5236
141,104700,19860,15376,744,4696
161,104700,21576,16928,744,3932
181,104712,25276,19768,744,3760
201,175144,42352,35460,744,69976
221,175704,44244,36844,744,70536
241,178740,47480,36972,744,73572
261,180592,50028,37948,744,75032
281,181596,50940,38108,744,76036
301,181596,50940,38108,744,76036
321,672604,51588,38744,744,44064
SUMMARY,exit=0,wall_ms=342,user_ms=253,sys_ms=66,max_rss_kb=57000
